VERB,WEREWOLF,POSSESSED,SEER,VILLAGER
ESTIMATE(WEREWOLF),0.277702375,0.266768952,0.116215561,0.339313112
ESTIMATE(POSSESSED),0.122319074,0.076659714,0.535339026,0.265682185
ESTIMATE(SEER),0.496957606,0,0,0.503042394
ESTIMATE(VILLAGER),0.195930519,0.193960693,0.238483234,0.371625554
ESTIMATE(ERROR),0,0.305245056,0.018916595,0.675838349
COMINGOUT(WEREWOLF),0.65703478,0.212637035,0.120871423,0.009456762
COMINGOUT(POSSESSED),0,0.487855215,0.165423083,0.346721702
COMINGOUT(SEER),0.104429677,0.481456941,0.414113383,0
COMINGOUT(VILLAGER),0.189027367,0,0,0.810972633
COMINGOUT(ERROR),1,0,0,0
VOTE,0.276626631,0.15235652,0.160829566,0.410187283
DIVINED(HUMAN),0.051949766,0.439746896,0.508303338,0
DIVINED(WEREWOLF),0.074841202,0.549033781,0.376125017,0
AGREE,0,1,0,0
DISAGREE,0.272969073,0.297982513,0.162389293,0.266659121
Over,0.232641713,0.171791507,0.171847396,0.423719384
Skip,0.237931172,0.163742305,0.156845394,0.441481129
REQUEST(DIVINATION),0,0.881930151,0,0.118069849
REQUEST(VOTE),0.238819794,0.327202964,0.433977243,0